availability_status,course_id,course_name,course_overview_raw,course_url,credits,discovery_method,discovery_source_url,display_course_code,http_status,in_canonical_workbooks_before,in_database_before,page_title,prerequisite_status,prerequisite_text_raw,reconciliation,seed,status,subject_category,validation_notes,validation_status
Offered,BUSA7250,Management Skills and Applications,"The course provides an overview of the basic skills of a manager and applies these skills through a series of projects and case studies. It examines the evolution of management and the organizational culture and environment. It also teaches the decision-making skills and the skills involved in planning, organizing, leading and controlling, including planning and facilitating change, teamwork, applying motivational techniques and effective communication. Prerequisite(s) No prerequisites are required for this course. Credits 3.0 Domestic fees $755.64 International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/management-skills-and-applications-busa-7250/,3.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,BUSA 7250,200,True,True,Management Skills and Applications BUSA 7250,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Business Administration Course,,validated
Offered,LIBS7021,Health Ethics,"This course introduces students to contemporary issues in health ethics by examining and applying ethical theories to moral dilemmas at the clinical, professional, and organizational levels. To this end, developing competence in moral reasoning is an important goal, one that will be emphasized through the analysis of case studies that test personal, professional, and societal values. Prerequisite(s) BCIT ENGL 1177 , or 6 credits BCIT Communication at 1100-level or above, or 3 credits of a university/college first-year social science or humanities course. Credits 3.0 Domestic fees $780.51 International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/health-ethics-libs-7021/,3.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,LIBS 7021,200,True,True,Health Ethics LIBS 7021,authoritative_raw_text,"BCIT ENGL 1177 , or 6 credits BCIT Communication at 1100-level or above, or 3 credits of a university/college first-year social science or humanities course.",existing_database,True,Active,Liberal Studies Course,,validated
Offered,NSCC7120,Critical Care Nursing Theory 1,"This introductory course establishes the core principles of critical care nursing, providing a strong foundation for practice in this fast-paced and complex environment. It begins with an exploration of key factors influencing clinical decision-making, including the specialized role of critical care nurses, the complexities of critical illness, the depth of knowledge required to understand each patient’s condition, and the lived experiences of both patients and healthcare professionals within the field. Learners will be introduced to the Oxygen Supply and Demand Framework (OSDF), and a structured approach that supports systematic assessment and clinical reasoning. By emphasizing the balance between oxygen supply and demand, the OSDF helps organize assessment findings and strengthens clinical judgment—essential skills for managing critically ill patients. Building on this foundation, the course advances into arterial blood gas analysis and hemodynamic assessment, equipping learners with the skills needed to interpret and respond to increasingly complex patient needs. ​ Prerequisite(s) No prerequisites are required for this course. Credits 4.0 Domestic fees $407.65 - $1,302.31 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/critical-care-nursing-theory-1-nscc-7120/,4.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7120,200,True,True,Critical Care Nursing Theory 1 NSCC 7120,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSCC7150,Dysrhythmia Interpretation and Management,"This course supports the development of fundamental knowledge required to systematically analyze and interpret basic cardiac dysrhythmias. Learners will explore myocardial electrophysiology in relation to cardiac monitoring and develop a systematic approach to dysrhythmia analysis and interpretation. Learners will also consider the predisposing factors of all conduction defects and the consequences of dysrhythmias to both systemic and myocardial oxygen supply and demand. Additionally, interventions for dysrhythmias are also discussed. Lastly, the significance of dysrhythmia analysis, interpretation, and management to critical care nursing practice will be explored. Though this course is conducted within the specific context of critical care nursing practice, it is also suitable for other nurses or qualified health professionals requiring this skill. If you are not a registered nurse or a student nurse in the final years of your BSN program, you must consult the Critical Care Nursing Program Head before registration. Health professionals who are not nurses may register for this course with the approval of the Critical Care Nursing Specialty Program Head. If you are registering in the NSCC, NSHA or NSER nursing program, follow the program course matrix. Program Head approval is required to take NSCC 7150 as a co-requisite with NSCC 7120 , NSCC 7220 , NSHA 7100 , or NSER 7110 . To be successful in the course, learners must achieve 75% or higher on each evaluative component in the course. Prerequisite(s) No prerequisites are required for this course. Credits 2.0 Domestic fees $215.93 - $663.26 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/dysrhythmia-interpretation-and-management-nscc-7150/,2.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7150,200,True,True,Dysrhythmia Interpretation and Management NSCC 7150,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSCC7220,Critical Care Nursing Theory 2,"​In this course, learners will develop an in-depth understanding of equity-oriented, person- and family-centred care, including trauma- and violence-informed care, cultural safety, and relational practice, within the context of caring for critically ill patients and their families. Learners will explore how pain, agitation, delirium, immobility, and sleep disturbances influence immediate patient outcomes and contribute to long-term complications such as post-intensive care syndrome, and examine strategies to manage these challenges. Interprofessional collaboration is emphasized as a cornerstone of effective critical care practice, together with strategies that promote personal resilience and professional growth in high-intensity environments. Building on core assessment and management skills from previous courses, learners will explore fluids, electrolytes, and renal physiology, developing the ability to anticipate, recognize, and manage imbalances and kidney dysfunction. The course also examines the gastrointestinal system focusing on the assessment and management of critical conditions affecting the liver, gallbladder, and pancreas. Learners will explore strategies to meet the complex nutritional needs of critically ill patients while minimizing associated risks. The course concludes with a clinical learning experience where learners apply concept-focused knowledge in practice. Please note: Learners must be Registered Nurses and have successfully completed NSCC 7120 and NSCC 7150 to enroll in this course. A minimum grade of 75% is required to register for the next Critical Care Nursing course ( NSCC 7320 ). Prerequisite(s) 75% in NSCC 7120 and 75% in NSCC 7150 Credits 3.0 Registration requirements Departmental approval is required to register for this course. You must have approval from the department to register. Students accepted into a program can register directly. Request Approval Domestic fees $311.80 - $982.79 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/critical-care-nursing-theory-2-nscc-7220/,3.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7220,200,True,True,Critical Care Nursing Theory 2 NSCC 7220,authoritative_raw_text,75% in NSCC 7120 and 75% in NSCC 7150,existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSCC7320,Critical Care Nursing Theory 3,"​This course prepares learners to support increasingly complex patient scenarios, applying the Oxygen Supply and Demand Framework (OSDF) to guide advanced reasoning and clinical decision-making. Learners explore respiratory failure in depth, examining its etiology, classification, and pathophysiology, and analyzing targeted interventions—including antibiotics, oxygen therapy, and non-invasive ventilation—to restore physiological balance and prevent deterioration. Mechanical ventilation is introduced at a foundational level, providing learners with the knowledge and skills required for safe entry-level practice, including patient assessment, indications for intubation, ventilator settings, modes of ventilation, alarm troubleshooting, and weaning strategies. Through the study of acute coronary syndromes (ACS) and heart failure, learners examine cardiac disease progression, interpret 12-lead ECGs, and explore pharmacologic and nursing strategies to optimize outcomes. The pathophysiology and long-term impact of heart failure are addressed, with attention to risk management, early recognition, and ongoing care of cardiac dysfunction. Shock, in its major forms—hypovolemic, cardiogenic, distributive, and obstructive—is then explored in depth, with learners examining the stages of shock, compensatory mechanisms, and advanced assessment techniques for evaluating cardiac output and tissue perfusion. Pharmacologic and nursing strategies are introduced, including vasoactive medications, fluid resuscitation, and blood products. The course concludes with an in-depth analysis of sepsis and multiple organ dysfunction syndrome (MODS), highlighting the inflammatory processes that drive these complex conditions. Through case-based learning and structured application of the Oxygen Supply and Demand Framework (OSDF), learners strengthen their ability to synthesize information, anticipate complications, and plan timely, evidence-informed interventions in the dynamic critical care environment. Prerequisite(s) 75% in NSCC 7220 Learners must be Registered Nurses and have successfully completed NSCC 7220 to enroll in this course. A minimum grade of 75% is required to register for the next Critical Care Nursing clinical course ( NSCC 7420 ). Credits 5.0 Registration requirements Departmental approval is required to register for this course. You must have approval from the department to register. Students accepted into a program can register directly. Request Approval Domestic fees $503.49 - $1,621.83 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/critical-care-nursing-theory-3-nscc-7320/,5.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7320,200,True,True,Critical Care Nursing Theory 3 NSCC 7320,authoritative_raw_text,75% in NSCC 7220 Learners must be Registered Nurses and have successfully completed NSCC 7220 to enroll in this course. A minimum grade of 75% is required to register for the next Critical Care Nursing clinical course ( NSCC 7420 ).,existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSCC7420,Critical Care Nursing Clinical 1,"​In this 125-hour clinical course, learners establish foundational competencies in caring for stable and evolving critically ill people and their families while applying theoretical knowledge acquired in the program to real-world clinical practice. Learners progressively develop independence in providing nursing care in a critical care setting. Through direct patient care and collaboration with the interdisciplinary team, learners strengthen skills in assessment, clinical reasoning and decision-making, therapeutic intervention, and professional communication. Patient care experiences focus on supporting patients requiring advanced monitoring, respiratory support, and interventions to optimize oxygen supply and demand. Learners work closely with an assigned buddy RN to progressively build confidence and competence in clinical decision-making and patient care. Note that NSCC 7420 is primarily delivered as a clinical instructor-led course; however, in select circumstances it may be completed as a preceptorship. Working alongside your assigned buddy RN, you will actively engage in patient care by: Collecting clinical data through systematic, comprehensive assessments; Forming clinical judgments based on evolving patient status and contextual influences; Making informed decisions about priorities and appropriate interventions; Implementing care in collaboration with your buddy RN and the interdisciplinary team; Communicating effectively with other healthcare professionals to ensure safe, coordinated care; Evaluating outcomes and adjusting care plans as needed in response to your patient’s condition; Experiences throughout this clinical course are designed to reinforce critical thinking, professional judgment, and the safe management of acute clinical situations Please note: Learners must be Registered Nurses and have successfully completed NSCC 7320 to enroll in this course. Learners must successfully complete this clinical course to register for the next critical care theory course ( NSCC 7520 ) Prerequisite(s) 75% in NSCC 7320 Completed clinical application and practicing RN license Credits 5.0 Registration requirements Departmental approval is required to register for this course. You must have approval from the department to register. Students accepted into a program can register directly. Request Approval Domestic fees $1,602.97 - $1,635.57 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/critical-care-nursing-clinical-1-nscc-7420/,5.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7420,200,True,True,Critical Care Nursing Clinical 1 NSCC 7420,authoritative_raw_text,75% in NSCC 7320 Completed clinical application and practicing RN license,existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSCC7520,Critical Care Nursing Theory 4,"​In this final theory course of the Critical Care Nursing program, learners build on knowledge and clinical reasoning skills developed throughout the program, strengthening their ability to synthesize assessment data, recognize early signs of deterioration, and implement timely, evidence-informed interventions for patients with increasingly complex and unstable health conditions. The course begins with ethical decision-making in critical care, where learners examine complexities such as end-of-life care, medical futility, and palliation, while incorporating trauma- and violence-informed practice, cultural safety, gender diversity, and harm reduction. Strategies to strengthen moral agency and build moral resilience are also explored. Learners then deepen their understanding of hemodynamics through pulmonary artery (PA) pressure monitoring, examining catheter function, nursing responsibilities, and hemodynamic data to support critical thinking and advanced clinical decision-making for cardiac output management. The course progresses to acute respiratory distress syndrome (ARDS), where learners examine current definitions, assessment guidelines, pathophysiology, diagnostic considerations, and evolving management strategies. Advanced neurocritical care is addressed in the final module, focusing on acquired brain injuries, including stroke, traumatic brain injury, and hypoxic-ischemic brain injury. Learners apply principles of intracranial dynamics and advanced monitoring—such as ICP, CPP, and cerebral oxygenation parameters—to guide interventions that optimize cerebral perfusion and prevent secondary injury. The course concludes with a focus on subspecialty areas—ICU, CSICU, or PACU. Through case-based learning and structured application of the Oxygen Supply and Demand Framework (OSDF), learners continue to strengthen their ability to synthesize increasingly complex information, anticipate complications, and deliver timely, evidence-informed interventions in the dynamic critical care environment. Prerequisite(s) S in NSCC 7420 Learners must be Registered Nurses and have successfully completed NSCC 7420 to enroll in this course. A minimum grade of 75% is required to register for the next Critical Care Nursing clinical course ( NSCC 7620 ). Credits 4.0 Registration requirements Departmental approval is required to register for this course. You must have approval from the department to register. Students accepted into a program can register directly. Request Approval Domestic fees $407.65 - $1,302.31 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/critical-care-nursing-theory-4-nscc-7520/,4.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7520,200,True,True,Critical Care Nursing Theory 4 NSCC 7520,authoritative_raw_text,S in NSCC 7420 Learners must be Registered Nurses and have successfully completed NSCC 7420 to enroll in this course. A minimum grade of 75% is required to register for the next Critical Care Nursing clinical course ( NSCC 7620 ).,existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSCC7620,Critical Care Nursing Clinical 2,"​In this 100-hour clinical course, learners advance their competencies to include caring for complex, critically ill patients and their families while applying theoretical knowledge acquired in the program to real-world clinical practice. Learners progress their independence and clinical judgement in providing nursing care in a critical care setting. Through direct patient care and collaboration with the interdisciplinary team, learners strengthen advanced skills in assessment, clinical reasoning and decision-making, therapeutic intervention, and professional communication. Patient care experiences focus on supporting patients with complex, multisystem conditions requiring advanced monitoring, respiratory support, and interventions to optimize oxygen supply and demand. Learners work closely with an assigned buddy RN to progressively build confidence and competence in clinical decision-making and patient care. Note that NSCC 7620 is primarily delivered as a clinical instructor-led course; however, in select circumstances it may be completed as a preceptorship. Working alongside your assigned buddy RN, you will actively engage in patient care by: Collecting clinical data through systematic, comprehensive assessments; Forming clinical judgments based on evolving patient status and contextual influences; Making informed decisions about priorities and appropriate interventions; Implementing care in collaboration with your buddy RN and the interdisciplinary team; Communicating effectively with other healthcare professionals to ensure safe, coordinated care; Evaluating outcomes and adjusting care plans as needed in response to your patient’s condition. Experiences throughout this clinical course are designed to reinforce critical thinking, professional judgment, and the safe management of complex, acute clinical situations. Please note: Learners must successfully complete this clinical course to complete the Critical Care Nursing Program. Prerequisite(s) 75% in NSCC 7520 Learners must be Registered Nurses, completed clinical application and practicing RN license Credits 4.0 Registration requirements Departmental approval is required to register for this course. You must have approval from the department to register. Students accepted into a program can register directly. Request Approval Domestic fees $1,316.05 International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/critical-care-nursing-clinical-2-nscc-7620/,4.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSCC 7620,200,True,True,Critical Care Nursing Clinical 2 NSCC 7620,authoritative_raw_text,"75% in NSCC 7520 Learners must be Registered Nurses, completed clinical application and practicing RN license",existing_database,True,Active,Nursing Specialty Critical Care Course,,validated
Offered,NSSC7115,Teaching and Learning in Specialty Nursing,"Introduces diverse perspectives on teaching and learning related to specialty nursing and explores the impact that connected teacher-learner relationships have on effective learning. Teaching and learning are viewed as mutual and parallel processes, being influenced by beliefs, intentions, and capacities of both teachers and learners. Teaching and learning abilities are further developed according to mutually agreed upon learning outcomes and intentions. Prerequisite(s) No prerequisites are required for this course. Credits 3.0 Domestic fees $311.80 - $982.79 See individual course offerings below for actual costs. International fees are typically 3.4 times the domestic tuition. Exact cost will be calculated upon completion of registration.",https://www.bcit.ca/courses/teaching-and-learning-in-specialty-nursing-nssc-7115/,3.0,program_matrix_link,https://www.bcit.ca/programs/specialty-nursing-critical-care-standard-option-bachelor-of-science-in-nursing-part-time-810absn/,NSSC 7115,200,True,True,Teaching and Learning in Specialty Nursing NSSC 7115,explicit_none,No prerequisites are required for this course.,existing_database,True,Active,Nursing Specialty Course,,validated
