program_id,program_title,current_state,proposed_status,action,proposed_db_actions,evidence,notes,blockers
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),"{""delivery_facts"":{""authoritative_raw"":""Program length The maximum time to complete this program is seven years. Program delivery Online: This program is delivered fully online. Note: Applicants must pledge to either attend all of the online live-streamed sessions or review the recordings after the lectures are complete. Program location Distance and online learning Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0801CM"",""source_url"":""https://www.bcit.ca/programs/essentials-of-natural-resource-and-environmental-protection-menrep-microcredential-part-time-0801cm/"",""terms_per_year"":null,""total_credits"":""4.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0804CM,Forensic Nurse Examiner Education for RNs,"{""delivery_facts"":{""authoritative_raw"":""Program delivery Online: This program is delivered fully online. Program location Courses are offered through online learning . Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0804CM"",""source_url"":""https://www.bcit.ca/programs/forensic-nurse-examiner-education-for-rns-microcredential-part-time-0804cm/"",""terms_per_year"":null,""total_credits"":""6.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0805CM,Breast Sonography,"{""delivery_facts"":{""authoritative_raw"":""Program length This part-time microcredential is five weeks in length. To earn the 6.0 credit microcredential in Breast Sonography, students must earn two badges by successfully completing XDMS 5002 : Breast Sonography Skill-up (2 credits) and XDMS 5012 : Breast Sonography Clinical First-steps (4 credits). Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0805CM"",""source_url"":""https://www.bcit.ca/programs/breast-sonography-microcredential-part-time-0805cm/"",""terms_per_year"":null,""total_credits"":""6.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0806CM,Musculoskeletal Sonography,"{""delivery_facts"":{""authoritative_raw"":""Program length This part-time microcredential is five weeks in length. To earn the 7.0-credit microcredential in Musculoskeletal (MSK) Sonography, students must earn two badges by first completing XDMS 5001 : MSK Sonography Skill-up (2 credits) and then complete XDMS 5011 : MSK Sonography Clinical First-steps (5 credits). Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0806CM"",""source_url"":""https://www.bcit.ca/programs/musculoskeletal-sonography-microcredential-part-time-0806cm/"",""terms_per_year"":null,""total_credits"":""7.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0814CM,Essential Field Skills for Environmental Professionals,"{""delivery_facts"":{""authoritative_raw"":""Program delivery Blended: This program is delivered partly on campus and partly online. This program is delivered in-person, online, and through field work. Program location Courses may be offered at the following locations: Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0814CM"",""source_url"":""https://www.bcit.ca/programs/essential-field-skills-for-environmental-professionals-microcredential-part-time-0814cm/"",""terms_per_year"":null,""total_credits"":""4.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0817CM,Introduction to Forest Health Quantification with RPAS,"{""delivery_facts"":{""authoritative_raw"":""Program length This part-time microcredential is four weeks in length. Accreditation Transport Canada Remotely Piloted Aircraft System (RPAS) certification Program delivery Blended: This program is delivered partly online with a field component. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Courses are also offered through online learning . Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0817CM"",""source_url"":""https://www.bcit.ca/programs/introduction-to-forest-health-quantification-with-rpas-microcredential-part-time-0817cm/"",""terms_per_year"":null,""total_credits"":""3.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0823CM,Food Safety Management,"{""delivery_facts"":{""authoritative_raw"":""What is the Microcredential in Food Safety Management? This online program includes flexible micro-courses that will elevate your knowledge and skills as a member of a quality assurance team in the food production industry. Each course requires a commitment of approximately 12 hours a week (a combination of online learning and synchronous meetings), and runs for 4-6 weeks. Courses involve online readings, video lectures, and problem sets. As needed, synchronized meetings may be arranged so that learners may have a chance to ask questions and hear from industry experts. Specifically, the Internal Auditor Training course requires students to perform an internal audit at a food production location to gain important hands-on experience. Students who successfully complete all three UBC courses and one BCIT course will earn a non-credit Microcredential in Food Safety Management issued by both UBC and BCIT. Program delivery Online: This program is delivered fully online. Program location Courses are offered through online learning . Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0823CM"",""source_url"":""https://www.bcit.ca/programs/food-safety-management-microcredential-part-time-0823cm/"",""terms_per_year"":null,""total_credits"":""2.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0824CM,Animal Cell Culture,"{""delivery_facts"":{""authoritative_raw"":""The Animal Cell Culture microcredential is designed so that you can achieve the practice and repetition needed to improve your animal cell culture skills and develop competency. The low trainee to instructor ratio (6:1 or less) will enable instructors to provide you with ongoing feedback and ensure that you have full access to a biological safety cabinet (or laminar flow hood) within the dedicated cell culture lab in the BCIT Biotechnology Department. The first week ( XBIO 4010 ) will introduce you to the core foundations of animal cell culture including biosafety, good aseptic technique and the various types of animal cells used in research, biotechnology and biomanufacturing. You will gain competency in performing cell culture and carry out a transfection (gene transfer) experiment. In the second week ( XBIO 4020 ), you will continue to culture cells and practice your aseptic technique, while also learning how to prepare and analyze cells using job-relevant techniques. Both XBIO 4010 and XBIO 4020 must be completed for you to receive the microcredential. BCIT Biotech Animal Cell Culture MC 360 May 2023 360° Viewing Instructions: On desktop PC click & drag the mouse to look around. View full screen ( f ), or change quality in ‘ Settings ‘. On mobile device use a finger to look around, or move the device. Can also use a VR headset. PAUSE the 360° video for more viewing time. Program delivery In person: This program is delivered on campus. This microcredential will be primarily composed of hands-on laboratory-based learning which will take place in the BCIT Biotechnology Department’s dedicated cell culture lab. A small portion of the course will cover theoretical concepts and will be delivered as a mix of classroom and online learning. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0824CM"",""source_url"":""https://www.bcit.ca/programs/animal-cell-culture-microcredential-part-time-0824cm/"",""terms_per_year"":null,""total_credits"":""4.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0831CM,Industrial Networking for Cybersecurity Professionals,"{""delivery_facts"":{""authoritative_raw"":""Program length This self-paced program can be completed in one year. Grading Minimum passing grade for each course is 50%. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0831CM"",""source_url"":""https://www.bcit.ca/programs/industrial-networking-for-cybersecurity-professionals-microcredential-part-time-0831cm/"",""terms_per_year"":null,""total_credits"":""5.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0836CM,Drone Applications for Environmental Risk Assessment,"{""delivery_facts"":{""authoritative_raw"":""Program length This part-time microcredential is four weeks in length. Grading A minimum passing mark of 50% is required, based on the overall performance on one assignment and one quiz per week for a total of four weeks. Accreditation Transport Canada Remotely Piloted Aircraft System (RPAS) certification Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning Continue your education Two badges from this microcrednetial program, namely XRPA 1100 and XRPA 1200, can fulfill 50% of the requirements for the Microcredential in Introduction to Forest Health Quantification with RPAS. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0836CM"",""source_url"":""https://www.bcit.ca/programs/drone-applications-for-environmental-risk-assessment-microcredential-part-time-0836cm/"",""terms_per_year"":null,""total_credits"":""3.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
