program_id,program_name,study_mode,campus,delivery_method,offerings,campus_relationships
0800CM,Introductory Studies in Mass Timber Construction,Part-time,Online,Online,1,0
0801CM,Essentials of Natural Resource and Environmental Protection (MENREP),Part-time,Online,Online,1,0
0803CM,Script Supervision and Continuity for Film and TV,Part-time,Burnaby Campus,In person,1,0
0804CM,Forensic Nurse Examiner Education for RNs,Part-time,Online,Online,1,0
0805CM,Breast Sonography,Part-time,Burnaby Campus / Online,Blended,1,0
0806CM,Musculoskeletal Sonography,Part-time,Burnaby Campus / Online,Blended,1,0
0810CM,Low-Code Mobile Application Development,Part-time,Online,Online,1,0
0811CM,Essentials of Data Networks,Part-time,Online,Online,1,0
0812CM,Cybersecurity Analysis for Network Administrators,Part-time,Online,Online,1,0
0813CM,Advanced Forensic Nurse Examiner,Part-time,Online,Online,1,0
0814CM,Essential Field Skills for Environmental Professionals,Part-time,Burnaby Campus / Online,Blended,1,0
0815CM,Supervising Net-Zero and Passive House Construction,Part-time,Online,Online,1,0
0816CM,Applied Circular Economy: Zero Waste Buildings,Part-time,Distance and Online Learning,Online,0,0
0817CM,Introduction to Forest Health Quantification with RPAS,Part-time,Burnaby Campus / Online,Blended,1,0
0819CM,Essentials of Net-Zero and Passive House Construction,Part-time,Online,Online,1,0
0820CM,Cybersecurity Essentials for IT Professionals,Part-time,Online,Online,1,0
0822CM,Food Safety Preventive Controls and HACCP Plans,Part-time,Online,Online,1,0
0823CM,Food Safety Management,Part-time,Online,Online,1,0
0824CM,Animal Cell Culture,Part-time,Burnaby Campus / Online,Blended,1,0
0825CM,Canadian Employment Readiness (CER),Part-time,Burnaby Campus / Online,Blended,1,0
0826CM,Technical Communication Essentials,Part-time,Online,Online,1,0
0828CM,Student Mobility Preparedness,Part-time,Online,Online,1,0
0829CM,Building Energy Modelling and Simulation,Part-time,Online,Online,1,0
0830CM,Whole-Building Life Cycle Assessment Professional,Part-time,Online,Online,1,0
0831CM,Industrial Networking for Cybersecurity Professionals,Part-time,Burnaby Campus,In person,1,0
0832CM,Cybersecurity Operations,Part-time,Online,Online,1,0
0833CM,Forensic Nurse Death Investigator,Part-time,Online,Online,1,0
0835CM,International Education Practitioner - Foundation,Part-time,Online,Online,1,0
0836CM,Drone Applications for Environmental Risk Assessment,Part-time,Burnaby Campus / Online,Blended,1,0
0837CM,Foundational Digital Forensics Skills,Part-time,Online,Online,1,0
0838CM,Automotive Service Management Essentials,Part-time,Online,Online,1,0
0839CM,"Fiber Optics - Principles, Installation and Repair",Part-time,Burnaby Campus,In person,1,0
0840CM,Introduction to Full-Stack Web Development,Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
0841CM,Web Development Foundations (WDF),Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
0842CM,Data Visualization with MS Power BI,Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
0843CM,Spanish Language and Culture Fundamentals,Part-time,Burnaby Campus / Online,Blended,1,0
0844CM,Fundamentals of Virtual Containers,Part-time,Online,Online,1,0
0845CM,Network Switching and Routing,Part-time,Online,Online,1,0
0846CM,Sterile Field and the Aseptic Environment,Part-time,Online,Online,1,0
0847CM,Wind Turbine Essentials,Part-time,Burnaby Campus / Online,Blended,1,0
0848CM,Advanced Topics in Networking,Part-time,Online,Online,1,0
0849CM,Asbestos Awareness and Safety,Part-time,Online,Online,1,0
0850CM,Fraud and Financial Crime Investigation,Part-time,Online,Online,1,0
0851CM,Aircraft Defect Inspection and Reporting Techniques,Part-time,Annacis Island Campus,In person,1,0
0852CM,Canadian Engineering Professional Practice,Part-time,Online,Online,1,0
0853CM,Principles of Regenerative Building,Part-time,Online,Online,1,0
0854CM,Essentials of Community Energy and Emissions Management,Part-time,Online,Online,1,0
0855CM,Thermal Power Plant Simulation Proficiency,Part-time,Online,Online,1,0
0856CM,Retrofit Solutions for Rural Communities,Part-time,Burnaby Campus / Online,Blended,1,0
0857CM,Automotive Collision Estimator,Part-time,Burnaby Campus,In person,1,0
